alpha	tau	Z	collapse
0.0001	0.01	0.04	N
0.0001	0.01	0.065	Y
0.0001	0.01	0.08	Y
0.0001	0.01	0.1	Y
0.0001	0.013	0.08	Y
0.0001	0.02	0.04	N
0.0001	0.02	0.05	Y
0.0001	0.02	0.08	Y
0.0001	0.03	0.02	N
0.0001	0.03	0.03	N
0.0001	0.03	0.04	Y
0.0001	0.03	0.05	Y
0.0001	0.1	0.015	N
0.0001	0.1	0.02	Y
0.000316	0.01	0.1	N
0.000316	0.01	0.125	Y
0.000316	0.01	0.15	Y
0.000316	0.01	0.2	Y
0.000316	0.03	0.045	N
0.000316	0.03	0.05	Y
0.000316	0.03	0.06	Y
0.000316	0.1	0.02	N
0.000316	0.1	0.024	Y
0.000316	0.1	0.032	Y
0.000316	0.3	0.02	Y
0.001	0.01	0.1	N
0.001	0.01	0.2	N
0.001	0.01	0.25	Y
0.001	0.01	0.3	Y
0.001	0.01	0.4	Y
0.001	0.03	0.07	N
0.001	0.03	0.08	N
0.001	0.03	0.09	N
0.001	0.03	0.1	Y
0.001	0.03	0.2	Y
0.001	0.1	0.02	N
0.001	0.1	0.04	N
0.001	0.1	0.045	Y
0.001	0.1	0.054	Y
